Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,source,saved_path,detail_specs_html_path
Laptop HP OmniBook X Flip 14-fm0088TU BZ7Q2PA,Laptop HP,Intel,,5,,,,,,14,1920 x 1200,,Intel,,59 Wh,27590000,https://www.anphatpc.com.vn/laptop-hp-omnibook-x-flip-14-fm0088tu-bz7q2pa.html,anphat,data/anphat/raw_htmls/0042.html,
Laptop Lenovo ThinkPad E16 Gen 3 22AY003TVA (Intel Core Ultra 7 258V),Laptop Lenovo,Intel,core ultra 7,7,,,,,,16,1920 x 1200,60,Intel,1.61,48 Wh,34990000,https://www.anphatpc.com.vn/laptop-lenovo-thinkpad-e16-gen-3-22ay003tva.html,anphat,data/anphat/raw_htmls/0043.html,
Laptop HP OmniBook X Flip 14-fm0086TU BZ7Q0PA,Laptop HP,Intel,,5,,,,,,14,1920 x 1200,,Intel,,59 Wh,28590000,https://www.anphatpc.com.vn/laptop-hp-omnibook-x-flip-14-fm0086tu-bz7q0pa.html,anphat,data/anphat/raw_htmls/0044.html,
Laptop HP OmniBook X Flip 14-fk0092AU BZ7P5PA (AMD Ryzen AI 5 340),Laptop HP,AMD,ryzen ai 5,5,,,,,,14,1920 x 1200,,AMD,1.39,59 Wh,28990000,https://www.anphatpc.com.vn/laptop-hp-omnibook-x-flip-14-fk0092au-bz7p5pa.html,anphat,data/anphat/raw_htmls/0045.html,
Laptop HP OmniBook 5 Flip 14-fp0057TU BZ7Q6PA,Laptop HP,Intel,,,,,,,,14,1920 x 1200,,Intel,1.62,68 Wh,25290000,https://www.anphatpc.com.vn/laptop-hp-omnibook-5-flip-14-fp0057tu-bz7q6pa.html,anphat,data/anphat/raw_htmls/0046.html,
Laptop HP OmniBook X Flip 14-fk0082AU BZ7N8PA,Laptop HP,AMD,,,,,,,,14,1920 x 1200,,AMD,1.39,59 Wh,36990000,https://www.anphatpc.com.vn/laptop-hp-omnibook-x-flip-14-fk0082au-bz7n8pa.html,anphat,data/anphat/raw_htmls/0047.html,
Laptop Dell XPS 13 9350 71058714 (Intel Core Ultra 5 226V),Laptop Dell,Intel,core ultra 5,5,,,,,,13.4,2560 x 1600,,Intel,1.21,55 Wh,63990000,https://www.anphatpc.com.vn/laptop-dell-xps-13-9350-71058714.html,anphat,data/anphat/raw_htmls/0048.html,
Laptop HP OmniBook 5 Flip 14-fp0055TU BZ7Q4PA (Intel Core 7 150U),Laptop HP,Intel,,,,,,,,14,1920 x 1200,,Intel,1.62,68 Wh,29390000,https://www.anphatpc.com.vn/laptop-hp-omnibook-5-flip-14-fp0055tu-bz7q4pa.html,anphat,data/anphat/raw_htmls/0049.html,
Laptop HP OmniBook X Flip 14-fm0076TU BZ7P6PA (Intel Core Ultra 7 258V),Laptop HP,Intel,core ultra 7,7,,,,,,14,1920 x 1200,,Intel,1.38,59 Wh,36690000,https://www.anphatpc.com.vn/laptop-hp-omnibook-x-flip-14-fm0076tu-bz7p6pa.html,anphat,data/anphat/raw_htmls/0050.html,
Laptop Dell XPS 9350 XPS9350-U5IA165W11GR-FP,Laptop Dell,Intel,,5,,,,,,13.4,2560 x 1600,,Intel,1.21,55 Wh,61990000,https://www.anphatpc.com.vn/laptop-dell-xps-9350-xps9350-u5ia165w11gr-fp.html,anphat,data/anphat/raw_htmls/0051.html,
Laptop Dell 15 DC15255 DC5R5802W1 (Ryzen 5 7530U),Laptop Dell,AMD,ryzen 5,5,,,,,,15.6,1920 x 1080,,AMD,1.63,41 Wh,18490000,https://www.anphatpc.com.vn/laptop-dell-15-dc15255-dc5r5802w1.html,anphat,data/anphat/raw_htmls/0052.html,
Laptop HP 250 G9 AG2K7AT (Intel Core i5-1235U),Laptop HP,Intel,i5-1235u,12,,,,,,15.6,1920 x 1080,,Intel,1.74,41 Wh,19590000,https://www.anphatpc.com.vn/laptop-hp-250-g9-ag2k7at.html,anphat,data/anphat/raw_htmls/0053.html,
